,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,198,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,181,0,0,1,2,0,0,18,2,0,0
monticola,0,0,187,0,0,7,0,0,0,0,0,0
pomorum,0,0,0,200,0,0,10,0,0,0,0,0
pratorum,0,7,0,0,269,0,6,0,1,12,0,0
pyrenaeus,0,5,6,0,1,199,0,0,16,2,0,0
ruderarius,0,0,0,3,0,0,197,0,0,0,12,0
rupestris,0,1,1,1,0,0,0,140,1,0,0,0
sichelii,0,9,0,0,5,6,0,0,171,2,0,0
soroeensis,0,0,2,1,0,2,5,0,0,229,0,0
sylvarum,0,0,0,1,0,0,15,0,0,0,222,0
wurflenii,0,0,0,0,0,0,0,0,0,0,0,214
